,학기,학수번호,교수명,강의시간,학습량,난이도,강의력,성취감,강의만족도
0,2023년 겨울학기,IFLS012(A0),Alexander Vos,월(5-6) 화(5-6) 수(5-6) 목(5-6) ,3.5,3.5,4.0,4.0,4.0
1,2023년 2학기,IFLS012(01),David M. Docherty,월(1) 수(1) ,2.4,2.3,3.0,3.0,4.3
2,2023년 2학기,IFLS012(02),David M. Docherty,월(2) 수(2) ,2.5,2.6,3.3,2.9,3.9
3,2023년 2학기,IFLS012(03),David M. Docherty,화(3) 목(3) ,2.6,2.8,3.3,3.2,4.3
4,2023년 2학기,IFLS012(04),Anthony Hanf,화(1) 목(1) ,3.1,2.5,4.2,3.6,4.6
5,2023년 2학기,IFLS012(05),Anthony Hanf,화(2) 목(2) ,2.4,2.2,4.6,4.0,4.8
6,2023년 2학기,IFLS012(06),Anthony Hanf,월(3) 수(3) ,2.4,2.2,4.6,3.3,4.6
7,2023년 2학기,IFLS012(07),Anthony Death,월(2) 수(2) ,3.5,3.0,3.4,3.2,3.7
8,2023년 2학기,IFLS012(08),Anthony Death,월(3) 수(3) ,2.9,3.1,2.6,3.0,3.9
9,2023년 2학기,IFLS012(09),Anthony Death,화(2) 목(2) ,3.8,3.7,2.3,2.0,2.8
10,2023년 2학기,IFLS012(10),Paulette M. Hawkins,월(4) 수(4) ,3.4,2.7,2.8,2.7,3.4
11,2023년 2학기,IFLS012(11),Paulette M. Hawkins,화(5) 목(5) ,3.7,2.9,3.3,2.9,3.7
12,2023년 2학기,IFLS012(12),Paulette M. Hawkins,화(6) 목(6) ,3.8,3.3,2.3,2.5,3.3
13,2023년 2학기,IFLS012(13),Derek Winchester,월(5) 수(5) ,3.3,2.5,4.3,3.9,4.6
14,2023년 2학기,IFLS012(14),Derek Winchester,월(6) 수(6) ,3.0,2.7,4.1,3.6,4.6
15,2023년 2학기,IFLS012(15),Derek Winchester,화(4) 목(4) ,2.8,2.9,4.0,3.8,4.8
16,2023년 2학기,IFLS012(16),Glenn P. Sundeen,월(5) 수(5) ,3.5,3.1,4.4,3.8,4.1
17,2023년 2학기,IFLS012(17),Glenn P. Sundeen,화(3) 목(3) ,3.4,2.8,4.4,3.2,4.2
18,2023년 2학기,IFLS012(18),Glenn P. Sundeen,화(4) 목(4) ,2.5,2.5,4.5,3.5,5.0
19,2023년 2학기,IFLS012(19),Peter S. Sylvestre,월(4) 수(4) ,2.3,2.6,2.6,3.3,4.3
20,2023년 2학기,IFLS012(20),Peter S. Sylvestre,화(4) 목(4) ,2.7,2.7,3.0,3.5,4.0
21,2023년 2학기,IFLS012(21),Dara Seamus Fox,월(3) 수(3) ,3.2,2.8,3.9,3.1,4.0
22,2023년 2학기,IFLS012(22),Dara Seamus Fox,월(5) 수(5) ,3.7,3.1,3.7,2.6,4.0
23,2023년 2학기,IFLS012(23),Dara Seamus Fox,화(6) 목(6) ,4.3,2.3,3.7,2.0,3.3
24,2023년 2학기,IFLS012(24),Michael A. Mumford,월(4) 수(4) ,3.4,2.8,4.5,3.9,4.5
25,2023년 2학기,IFLS012(25),Michael A. Mumford,화(5) 목(5) ,4.2,3.8,4.2,3.0,3.4
26,2023년 2학기,IFLS012(26),Michael A. Mumford,월(3) 수(3) ,3.3,3.1,4.3,3.3,3.9
27,2023년 2학기,IFLS012(27),Michael A. Mumford,화(6) 목(6) ,4.0,3.5,4.5,4.0,4.3
28,2023년 2학기,IFLS012(28),Michael A. Mumford,화(4) 목(4) ,4.6,4.0,2.9,1.7,3.0
29,2023년 2학기,IFLS012(29),Mark Robert Eade,월(5) 수(5) ,3.5,3.1,2.7,2.7,3.7
30,2023년 2학기,IFLS012(30),Mark Robert Eade,월(6) 수(6) ,2.4,2.8,3.1,3.3,4.5
31,2023년 2학기,IFLS012(31),Mark Robert Eade,화(3) 목(3) ,3.3,3.0,3.5,2.8,4.0
32,2023년 2학기,IFLS012(32),Mark Robert Eade,화(5) 목(5) ,3.3,4.2,3.5,3.3,4.2
33,2023년 2학기,IFLS012(33),Alexander Vos,월(3) 수(3) ,3.6,3.1,4.1,3.7,4.1
34,2023년 2학기,IFLS012(34),Alexander Vos,화(1) 목(1) ,3.8,3.8,4.5,3.8,3.7
35,2023년 2학기,IFLS012(35),Alexander Vos,화(2) 목(2) ,4.3,4.1,4.4,3.8,3.4
36,2023년 2학기,IFLS012(36),Kirstie Bromenshenk,월(1) 수(1) ,2.9,2.8,3.9,3.1,4.4
37,2023년 2학기,IFLS012(37),Kirstie Bromenshenk,월(2) 수(2) ,3.1,2.8,3.8,2.9,3.9
38,2023년 2학기,IFLS012(38),Kirstie Bromenshenk,화(2) 목(2) ,2.4,2.6,3.7,3.4,4.3
39,2023년 2학기,IFLS012(39),Kirstie Bromenshenk,월(3) 수(3) ,2.1,2.2,3.3,2.3,3.8
40,2023년 2학기,IFLS012(40),Thomas Walsh,월(2) 수(2) ,4.0,3.3,4.3,3.7,3.8
41,2023년 2학기,IFLS012(41),Thomas Walsh,화(3) 목(3) ,3.7,2.9,4.3,3.5,4.3
42,2023년 2학기,IFLS012(42),Thomas Walsh,화(4) 목(4) ,3.5,2.9,4.3,3.3,3.7
