,강의아이디,유저아이디,강의만족도,학습량,난이도,강의력,성취감,강의평
0,0,조랑말,3,3,3,3,3,영어 실력을 취득하기에 좋은 강의였다. 열심히 하면 좋은 성적을 받을 것이다. 최선을 다해보십시오.
1,0,구준,5,4,4,5,5,"강의가 하루에 두시간씩 진행되는데 한시간마다 출석체크 거의 하셨습니다. 

강의 자체는 계절학기임에도 불구하고 그렇게 쫓긴다는 느낌은 받지 않았습니다.  강의 잘하시고 학생들을 배려해주십니다. 점수 체크하실 때도 박하지 않게 주시는 것 같습니다. 열심히 참여하고 교수님께 여쭤보면서 하시면 성적 잘 받으실 수 있습니다. 

책상 자체를 모듬대형으로 만드셔서 모든 수업은 조별로 합니다. 모두 참여하는 수업이라 처음에는 쑥스럽지만 하다보니 많이 익숙해졌습니다."
2,1,ZO,4,2,2,4,3,"출석은 3번까지 빠져도 되지만 유고를 안 받아주십니다
(한마디로 유고포함 3번이라는 뜻)
지각은 칼같이 잡습니다 정시에 출석 부르고 출석 부르기 시작한 이후에 오면 무조건 지각이에요
지각 3번에 결석 1번입니다
원래는 기말에 자기 시험만 가도 돼서 꿀강이었었는데 이제는 기말 다른 사람 발표도 다 가야 합니다...
그래도 중간 1달 정도 안 가는 건 좋아요

성적은 그냥 영어 회화 유창하게 하고 교수님이 평가기준 설명하실 때 잘 들으시면 됩니다"
3,1,Liliki,5,2,2,3,2,"스피킹을 잘 하신다면 도커티 교수님 강의만큼 편안한 아잉은 없습니다. 과제도 없고 중간고사 기간에는 수업에 안 와도 되며 중간, 기말 준비도 저는 얼마 걸리지 않았습니다. 다만 스피킹에 자신이 없으시다면 노력해도 학점은 얻기 힘드실 수 있습니다."
4,1,cheoooool_13,5,2,3,3,3,"중간고사는 영어 원서 읽고 줄거리 및 느낀점 요약 후 교수님과 디스커션, 기말 전에 그래프 보고 분석하기, 기말고사는 자유 주제로 발표하기입니다. 영어로 말하는 것에 어느 정도 어려움이 없다면 최고의 강의입니다! 학습량이 거의 없다시피하고 수업 시간에 시키는 것도 많지 않습니다. 게다가 중간 기간 때는 자신의 차례에만 가면 됐어서 거의 한달 쉬었습니다 ㅎㅎ"
5,1,아포가도,4,3,3,4,4,"스피킹만 잘한다면 교수님의 강의는 정말 편하게 들으실 겁니다.
스피킹에 무리가 없다! 하시면 무조건무조건 들으세요."
6,1,진라면순한맛수,4,3,2,3,3,"1교시 수업 중 유일하게 감당가능한 수업입니다. 결석 3번까지는 봐줄 정도로 출석이 굉장히 널널하고 1달동안 자기 차례 제외 안 가는 기간도 있습니다.
그러나 저는 5번 정도 결석했기에 에제를 받았습니다.. 
본인이 영어 회화를 잘 못해도 자신감만 있으면 좋은 점수 받을 수 있습니다. 저도 영어 회화 잘 못하는 주입식 영어 교육의 끝판왕인데 자신감 하나로 문법 다 틀리면서 회화에 임했으나 다행히 좋은 점수를 주셨습니다"
7,1,코야코코,3,3,3,3,3,"필수 수업으로 수강하였고, 학습량이 많다고 느껴지지 않았습니다. 아잉 듣는 저학년 분들 파이팅입니다!"
8,1,야끼소바먹고싶다,3,3,3,3,3,수업 시간에 하는 건 거의 없고 1교시인데도 30분 늦게 출석해 주셔서 편했습니다 다만 영어 프리 토킹에 능통하다 아니면 에이쁠은 힘들 듯싶습니다 그리고 도커티의 장점인 기말 중간 응시자만 출석 이건 바뀌어서... 그래도 전 다시 들으라 하면 도커티 듣긴 합니다
9,1,lovesome,4,2,2,2,4,"다른 아잉 강의에 비해서 학습 부담감은 가장 적은 것 같습니다.
학점도 잘 주시는 편이며 출석, 과제 기한 및 분량과 같은 기본적인 것들만 잘 지켜도 충분히 좋은 성적을 받을 수 있습니다."
